state,m_in
Florida,367052
Texas,300470
California,294078
North Carolina,173980
Arizona,156164
Georgia,151546
Virginia,143381
Washington,140273
New York,137980
Pennsylvania,133718
Colorado,131450
Ohio,107988
Tennessee,106864
Illinois,106103
West Virginia,96379
South Carolina,93929
Maryland,92027
New Jersey,87903
Oregon,83210
Missouri,79319
Michigan,78819
Nevada,77390
Massachusetts,74557
Indiana,70173
Alabama,58866
Minnesota,58528
Wisconsin,55812
Kentucky,52172
Utah,48115
Oklahoma,47172
Kansas,46214
Connecticut,43629
Louisiana,43601
Idaho,39383
Arkansas,38059
Iowa,33699
New Mexico,33472
Mississippi,33163
Hawaii,29991
New Hampshire,27599
Nebraska,25148
Delaware,21608
Montana,21339
Maine,20474
Rhode Island,18474
Alaska,16541
North Dakota,15010
Wyoming,14569
South Dakota,13670
Vermont,9056