state,m_out
California,368821
New York,255001
Virginia,250491
Florida,247664
Texas,241155
Illinois,169115
Pennsylvania,142260
North Carolina,136364
Georgia,134840
New Jersey,122702
Washington,113603
Ohio,112973
Colorado,112289
Maryland,99494
Massachusetts,98641
Arizona,98154
Tennessee,89927
Michigan,84301
Missouri,82235
Indiana,73857
South Carolina,70121
Oregon,64720
Minnesota,59247
Nevada,57864
Connecticut,57607
Wisconsin,54554
Louisiana,54095
Kentucky,53338
Oklahoma,50912
Alabama,50039
Kansas,49883
Utah,45396
Mississippi,37940
Iowa,37638
New Mexico,37334
Arkansas,36459
Hawaii,33687
Nebraska,26381
Idaho,25377
West Virginia,25349
New Hampshire,23910
Alaska,23220
Delaware,18095
Montana,17949
Rhode Island,17858
North Dakota,17730
Maine,16388
Wyoming,14696
South Dakota,14358
Vermont,13060