state,migrants,indicator,millenials,genx,boomers,lat,lng
Florida,367052,in,143428,93638,129986,27.994402,-81.760254
Texas,300470,in,178433,77800,44237,31.5523,99.770255
California,294078,in,189300,62096,42682,36.778259,-119.417931
North Carolina,173980,in,91893,45502,36585,35.782169,-80.793457
Arizona,156164,in,67253,38446,50465,34.048927,-111.093735
Georgia,151546,in,84360,40638,26548,33.247875,-83.441162
Virginia,143381,in,90210,32403,20768,37.926868,-78.024902
Washington,140273,in,88931,29345,21997,47.751076,-120.740135
New York,137980,in,94422,25241,18317,43,-75
Pennsylvania,133718,in,81697,30129,21892,41.203323,-77.194527
California,368821,out,207534,86788,74499,36.778259,-119.417931
New York,255001,out,151261,56490,47250,43,-75
Virginia,250491,out,143098,65228,42165,39,-80.5
Florida,247664,out,128421,62680,56563,27.994402,-81.760254
Texas,241155,out,140252,59652,41251,31.5523,99.770255
Illinois,169115,out,94988,40835,33292,40,-89
Pennsylvania,142260,out,81530,31565,29165,41.203323,-77.194527
North Carolina,136364,out,80713,33193,22458,35.782169,-80.793457
Georgia,134840,out,75842,34033,24965,33.247875,-83.441162
New Jersey,122702,out,67407,28614,26681,39.833851,-74.871826