To_State,Total
Alaska,227
Arizona,661
Arkansas,431
California,2174
Colorado,1463
Connecticut,366
Delaware,92
District of Columbia,186
Florida,7252
Georgia,7541
Hawaii,142
Idaho,5
Illinois,833
Indiana,836
Iowa,206
Kansas,457
Kentucky,1128
Louisiana,1591
Maine,47
Maryland,727
Massachusetts,257
Michigan,987
Minnesota,276
Mississippi,2687
Missouri,1115
Montana,97
Nebraska,308
Nevada,436
New Hampshire,76
New Jersey,115
New Mexico,362
New York,449
North Carolina,2058
North Dakota,16
Ohio,935
Oklahoma,331
Oregon,159
Pennsylvania,746
Rhode Island,0
South Carolina,1230
South Dakota,173
Tennessee,4320
Texas,3394
Utah,364
Vermont,0
Virginia,1653
Washington,720
West Virginia,156
Wisconsin,165
Wyoming,89
Alabama,429
Arizona,1263
Arkansas,180
California,2083
Colorado,898
Connecticut,193
Delaware,79
District of Columbia,44
Florida,1182
Georgia,489
Hawaii,401
Idaho,672
Illinois,407
Indiana,105
Iowa,156
Kansas,179
Kentucky,135
Louisiana,395
Maine,26
Maryland,73
Massachusetts,185
Michigan,239
Minnesota,296
Mississippi,57
Missouri,704
Montana,524
Nebraska,94
Nevada,836
New Hampshire,78
New Jersey,166
New Mexico,404
New York,525
North Carolina,777
North Dakota,68
Ohio,315
Oklahoma,166
Oregon,1025
Pennsylvania,404
Rhode Island,54
South Carolina,111
South Dakota,29
Tennessee,561
Texas,1515
Utah,519
Vermont,92
Virginia,626
Washington,2741
West Virginia,69
Wisconsin,547
Wyoming,104
Alabama,868
Alaska,624
Arkansas,647
California,17511
Colorado,4810
Connecticut,309
Delaware,24
District of Columbia,279
Florida,4453
Georgia,1316
Hawaii,922
Idaho,2023
Illinois,3090
Indiana,1251
Iowa,1588
Kansas,1087
Kentucky,487
Louisiana,589
Maine,158
Maryland,1107
Massachusetts,1059
Michigan,2736
Minnesota,1887
Mississippi,204
Missouri,1648
Montana,602
Nebraska,767
Nevada,3599
New Hampshire,476
New Jersey,445
New Mexico,2325
New York,2072
North Carolina,2351
North Dakota,72
Ohio,1869
Oklahoma,1111
Oregon,3958
Pennsylvania,1716
Rhode Island,255
South Carolina,628
South Dakota,187
Tennessee,1050
Texas,10407
Utah,3826
Vermont,0
Virginia,1631
Washington,6073
West Virginia,112
Wisconsin,1494
Wyoming,451
Alabama,859
Alaska,224
Arizona,864
California,1882
Colorado,820
Connecticut,140
Delaware,0
District of Columbia,11
Florida,2194
Georgia,1096
Hawaii,64
Idaho,121
Illinois,941
Indiana,582
Iowa,307
Kansas,752
Kentucky,301
Louisiana,1166
Maine,0
Maryland,211
Massachusetts,225
Michigan,353
Minnesota,358
Mississippi,1121
Missouri,3226
Montana,72
Nebraska,122
Nevada,240
New Hampshire,183
New Jersey,122
New Mexico,214
New York,404
North Carolina,759
North Dakota,39
Ohio,477
Oklahoma,3057
Oregon,420
Pennsylvania,478
Rhode Island,0
South Carolina,460
South Dakota,158
Tennessee,2161
Texas,7312
Utah,118
Vermont,0
Virginia,437
Washington,587
West Virginia,76
Wisconsin,503
Wyoming,242
Alabama,1674
Alaska,2075
Arizona,35420
Arkansas,2511
Colorado,15176
Connecticut,2275
Delaware,223
District of Columbia,1938
Florida,16777
Georgia,9704
Hawaii,6508
Idaho,9557
Illinois,8693
Indiana,3996
Iowa,2003
Kansas,2891
Kentucky,2253
Louisiana,2990
Maine,707
Maryland,5296
Massachusetts,6502
Michigan,4974
Minnesota,3615
Mississippi,1578
Missouri,4800
Montana,3327
Nebraska,1585
Nevada,28989
New Hampshire,712
New Jersey,5266
New Mexico,3855
New York,12995
North Carolina,10312
North Dakota,884
Ohio,6572
Oklahoma,3960
Oregon,23626
Pennsylvania,6847
Rhode Island,817
South Carolina,3476
South Dakota,915
Tennessee,5293
Texas,41645
Utah,9064
Vermont,639
Virginia,10865
Washington,27878
West Virginia,378
Wisconsin,3558
Wyoming,1227
Alabama,983
Alaska,989
Arizona,7778
Arkansas,1301
California,11559
Connecticut,528
Delaware,17
District of Columbia,419
Florida,9068
Georgia,2034
Hawaii,1244
Idaho,1624
Illinois,2391
Indiana,1312
Iowa,1793
Kansas,2599
Kentucky,566
Louisiana,1029
Maine,704
Maryland,1279
Massachusetts,1184
Michigan,1751
Minnesota,2565
Mississippi,221
Missouri,2836
Montana,1417
Nebraska,1811
Nevada,2516
New Hampshire,359
New Jersey,816
New Mexico,3177
New York,2083
North Carolina,2632
North Dakota,526
Ohio,2076
Oklahoma,1934
Oregon,2759
Pennsylvania,2455
Rhode Island,180
South Carolina,1347
South Dakota,496
Tennessee,1781
Texas,11575
Utah,2509
Vermont,349
Virginia,2487
Washington,5334
West Virginia,235
Wisconsin,1212
Wyoming,2449
Alabama,393
Alaska,41
Arizona,944
Arkansas,0
California,3212
Colorado,1134
Delaware,228
District of Columbia,188
Florida,9361
Georgia,1802
Hawaii,22
Idaho,173
Illinois,1181
Indiana,226
Iowa,111
Kansas,164
Kentucky,359
Louisiana,155
Maine,1227
Maryland,856
Massachusetts,5427
Michigan,546
Minnesota,411
Mississippi,26
Missouri,78
Montana,12
Nebraska,387
Nevada,566
New Hampshire,1103
New Jersey,2094
New Mexico,70
New York,8223
North Carolina,2988
North Dakota,150
Ohio,1242
Oklahoma,101
Oregon,169
Pennsylvania,1867
Rhode Island,1974
South Carolina,1751
South Dakota,0
Tennessee,834
Texas,1736
Utah,325
Vermont,661
Virginia,1637
Washington,1109
West Virginia,141
Wisconsin,170
Wyoming,32
Alabama,64
Alaska,72
Arizona,601
Arkansas,60
California,830
Colorado,233
Connecticut,163
District of Columbia,70
Florida,1660
Georgia,678
Hawaii,0
Idaho,0
Illinois,32
Indiana,221
Iowa,37
Kansas,0
Kentucky,98
Louisiana,0
Maine,79
Maryland,3132
Massachusetts,277
Michigan,110
Minnesota,0
Mississippi,18
Missouri,184
Montana,0
Nebraska,17
Nevada,39
New Hampshire,28
New Jersey,810
New Mexico,33
New York,826
North Carolina,1087
North Dakota,12
Ohio,176
Oklahoma,117
Oregon,24
Pennsylvania,3965
Rhode Island,0
South Carolina,186
South Dakota,0
Tennessee,167
Texas,842
Utah,107
Vermont,9
Virginia,704
Washington,119
West Virginia,63
Wisconsin,145
Wyoming,0
Alabama,167
Alaska,12
Arizona,158
Arkansas,100
California,3650
Colorado,583
Connecticut,172
Delaware,139
Florida,1232
Georgia,592
Hawaii,182
Idaho,0
Illinois,682
Indiana,80
Iowa,68
Kansas,53
Kentucky,115
Louisiana,34
Maine,0
Maryland,12715
Massachusetts,930
Michigan,279
Minnesota,245
Mississippi,15
Missouri,132
Montana,20
Nebraska,54
Nevada,65
New Hampshire,100
New Jersey,486
New Mexico,55
New York,3479
North Carolina,906
North Dakota,0
Ohio,497
Oklahoma,110
Oregon,304
Pennsylvania,1763
Rhode Island,20
South Carolina,390
South Dakota,0
Tennessee,286
Texas,803
Utah,327
Vermont,64
Virginia,7388
Washington,976
West Virginia,290
Wisconsin,80
Wyoming,0
Alabama,7927
Alaska,615
Arizona,4864
Arkansas,1795
California,14868
Colorado,8054
Connecticut,2643
Delaware,629
District of Columbia,793
Georgia,23684
Hawaii,1266
Idaho,883
Illinois,7296
Indiana,4951
Iowa,1374
Kansas,1672
Kentucky,3724
Louisiana,3118
Maine,1544
Maryland,5473
Massachusetts,5839
Michigan,6740
Minnesota,2615
Mississippi,2378
Missouri,3771
Montana,826
Nebraska,1547
Nevada,3664
New Hampshire,1565
New Jersey,5660
New Mexico,1444
New York,12596
North Carolina,17358
North Dakota,579
Ohio,8347
Oklahoma,2138
Oregon,2061
Pennsylvania,7564
Rhode Island,1598
South Carolina,8887
South Dakota,485
Tennessee,11951
Texas,19821
Utah,1143
Vermont,361
Virginia,9661
Washington,5866
West Virginia,1224
Wisconsin,2445
Wyoming,357
Alabama,10893
Alaska,451
Arizona,2370
Arkansas,1215
California,7409
Colorado,2904
Connecticut,939
Delaware,140
District of Columbia,552
Florida,24384
Hawaii,1373
Idaho,147
Illinois,2898
Indiana,1732
Iowa,274
Kansas,987
Kentucky,1454
Louisiana,2178
Maine,177
Maryland,2669
Massachusetts,1476
Michigan,2264
Minnesota,983
Mississippi,2080
Missouri,1614
Montana,142
Nebraska,268
Nevada,1203
New Hampshire,231
New Jersey,1638
New Mexico,431
New York,4069
North Carolina,9456
North Dakota,339
Ohio,3290
Oklahoma,866
Oregon,630
Pennsylvania,3182
Rhode Island,219
South Carolina,7950
South Dakota,104
Tennessee,7556
Texas,10062
Utah,824
Vermont,127
Virginia,4573
Washington,2336
West Virginia,406
Wisconsin,1314
Wyoming,61
Alabama,512
Alaska,339
Arizona,1180
Arkansas,84
California,7130
Colorado,1787
Connecticut,431
Delaware,16
District of Columbia,12
Florida,1417
Georgia,648
Idaho,185
Illinois,324
Indiana,343
Iowa,284
Kansas,309
Kentucky,149
Louisiana,287
Maine,110
Maryland,1048
Massachusetts,203
Michigan,318
Minnesota,71
Mississippi,214
Missouri,339
Montana,33
Nebraska,35
Nevada,2620
New Hampshire,31
New Jersey,106
New Mexico,338
New York,580
North Carolina,679
North Dakota,84
Ohio,269
Oklahoma,280
Oregon,1593
Pennsylvania,417
Rhode Island,13
South Carolina,533
South Dakota,147
Tennessee,576
Texas,2870
Utah,780
Vermont,0
Virginia,1573
Washington,2087
West Virginia,73
Wisconsin,200
Wyoming,30
Alabama,22
Alaska,358
Arizona,1601
Arkansas,91
California,2210
Colorado,711
Connecticut,15
Delaware,0
District of Columbia,40
Florida,593
Georgia,460
Hawaii,210
Illinois,145
Indiana,195
Iowa,401
Kansas,37
Kentucky,138
Louisiana,172
Maine,89
Maryland,142
Massachusetts,8
Michigan,279
Minnesota,148
Mississippi,153
Missouri,416
Montana,790
Nebraska,133
Nevada,980
New Hampshire,41
New Jersey,35
New Mexico,234
New York,187
North Carolina,149
North Dakota,230
Ohio,169
Oklahoma,197
Oregon,2962
Pennsylvania,308
Rhode Island,25
South Carolina,252
South Dakota,47
Tennessee,172
Texas,878
Utah,3214
Vermont,0
Virginia,130
Washington,4984
West Virginia,43
Wisconsin,196
Wyoming,387
Alabama,1181
Alaska,644
Arizona,6765
Arkansas,1572
California,15273
Colorado,6214
Connecticut,548
Delaware,282
District of Columbia,849
Florida,16393
Georgia,6184
Hawaii,1038
Idaho,220
Indiana,12637
Iowa,4611
Kansas,1414
Kentucky,2216
Louisiana,932
Maine,274
Maryland,1481
Massachusetts,2140
Michigan,6662
Minnesota,4272
Mississippi,1294
Missouri,9133
Montana,754
Nebraska,686
Nevada,2001
New Hampshire,484
New Jersey,1177
New Mexico,452
New York,3821
North Carolina,4244
North Dakota,324
Ohio,4101
Oklahoma,1414
Oregon,1615
Pennsylvania,2336
Rhode Island,153
South Carolina,2030
South Dakota,366
Tennessee,5516
Texas,13486
Utah,1185
Vermont,34
Virginia,3091
Washington,3453
West Virginia,281
Wisconsin,11813
Wyoming,69
Alabama,1045
Alaska,18
Arizona,2626
Arkansas,587
California,3777
Colorado,1559
Connecticut,195
Delaware,27
District of Columbia,237
Florida,8848
Georgia,1783
Hawaii,231
Idaho,172
Illinois,7269
Iowa,292
Kansas,773
Kentucky,5596
Louisiana,311
Maine,18
Maryland,700
Massachusetts,773
Michigan,5163
Minnesota,1026
Mississippi,555
Missouri,1428
Montana,271
Nebraska,163
Nevada,491
New Hampshire,393
New Jersey,581
New Mexico,256
New York,861
North Carolina,2537
North Dakota,77
Ohio,6121
Oklahoma,710
Oregon,610
Pennsylvania,1201
Rhode Island,98
South Carolina,1484
South Dakota,234
Tennessee,3341
Texas,4832
Utah,533
Vermont,0
Virginia,1631
Washington,1209
West Virginia,258
Wisconsin,893
Wyoming,63
Alabama,272
Alaska,314
Arizona,1800
Arkansas,228
California,1728
Colorado,1637
Connecticut,111
Delaware,14
District of Columbia,51
Florida,2368
Georgia,575
Hawaii,309
Idaho,110
Illinois,3951
Indiana,602
Kansas,1201
Kentucky,377
Louisiana,196
Maine,163
Maryland,230
Massachusetts,182
Michigan,290
Minnesota,2490
Mississippi,113
Missouri,2793
Montana,129
Nebraska,2718
Nevada,407
New Hampshire,5
New Jersey,12
New Mexico,164
New York,496
North Carolina,790
North Dakota,339
Ohio,714
Oklahoma,370
Oregon,358
Pennsylvania,237
Rhode Island,76
South Carolina,374
South Dakota,1319
Tennessee,602
Texas,2830
Utah,320
Vermont,0
Virginia,534
Washington,445
West Virginia,48
Wisconsin,2141
Wyoming,105
Alabama,284
Alaska,593
Arizona,2032
Arkansas,991
California,1924
Colorado,2741
Connecticut,83
Delaware,143
District of Columbia,0
Florida,1969
Georgia,1928
Hawaii,340
Idaho,293
Illinois,1098
Indiana,963
Iowa,952
Kentucky,740
Louisiana,301
Maine,19
Maryland,195
Massachusetts,288
Michigan,846
Minnesota,285
Mississippi,232
Missouri,12028
Montana,139
Nebraska,2069
Nevada,414
New Hampshire,16
New Jersey,380
New Mexico,147
New York,509
North Carolina,914
North Dakota,70
Ohio,797
Oklahoma,2628
Oregon,653
Pennsylvania,421
Rhode Island,8
South Carolina,497
South Dakota,344
Tennessee,814
Texas,5221
Utah,194
Vermont,9
Virginia,881
Washington,1050
West Virginia,101
Wisconsin,215
Wyoming,124
Alabama,934
Alaska,221
Arizona,959
Arkansas,470
California,2043
Colorado,1108
Connecticut,125
Delaware,26
District of Columbia,74
Florida,6183
Georgia,1979
Hawaii,170
Idaho,119
Illinois,1404
Indiana,5261
Iowa,305
Kansas,352
Louisiana,367
Maine,226
Maryland,308
Massachusetts,296
Michigan,1194
Minnesota,351
Mississippi,462
Missouri,885
Montana,63
Nebraska,167
Nevada,196
New Hampshire,107
New Jersey,53
New Mexico,133
New York,779
North Carolina,1510
North Dakota,1
Ohio,7925
Oklahoma,552
Oregon,267
Pennsylvania,791
Rhode Island,87
South Carolina,1029
South Dakota,26
Tennessee,6361
Texas,3236
Utah,142
Vermont,276
Virginia,1925
Washington,426
West Virginia,704
Wisconsin,547
Wyoming,213
Alabama,1378
Alaska,356
Arizona,1040
Arkansas,1501
California,3114
Colorado,1553
Connecticut,287
Delaware,46
District of Columbia,135
Florida,3286
Georgia,2525
Hawaii,76
Idaho,136
Illinois,740
Indiana,579
Iowa,320
Kansas,369
Kentucky,494
Maine,11
Maryland,288
Massachusetts,827
Michigan,550
Minnesota,112
Mississippi,4378
Missouri,1108
Montana,291
Nebraska,61
Nevada,350
New Hampshire,275
New Jersey,595
New Mexico,265
New York,1048
North Carolina,1299
North Dakota,158
Ohio,697
Oklahoma,1191
Oregon,653
Pennsylvania,320
Rhode Island,52
South Carolina,1063
South Dakota,291
Tennessee,1358
Texas,15381
Utah,313
Vermont,0
Virginia,1595
Washington,867
West Virginia,110
Wisconsin,469
Wyoming,184
Alabama,62
Alaska,121
Arizona,199
Arkansas,8
California,1240
Colorado,302
Connecticut,384
Delaware,63
District of Columbia,62
Florida,2395
Georgia,216
Hawaii,0
Idaho,75
Illinois,277
Indiana,145
Iowa,0
Kansas,4
Kentucky,212
Louisiana,22
Maryland,186
Massachusetts,1905
Michigan,497
Minnesota,142
Mississippi,13
Missouri,156
Montana,41
Nebraska,3
Nevada,57
New Hampshire,1926
New Jersey,197
New Mexico,62
New York,528
North Carolina,837
North Dakota,0
Ohio,201
Oklahoma,64
Oregon,252
Pennsylvania,697
Rhode Island,238
South Carolina,409
South Dakota,0
Tennessee,478
Texas,573
Utah,39
Vermont,103
Virginia,418
Washington,128
West Virginia,87
Wisconsin,64
Wyoming,300
Alabama,375
Alaska,169
Arizona,1433
Arkansas,285
California,6757
Colorado,2073
Connecticut,863
Delaware,4320
District of Columbia,8393
Florida,9475
Georgia,2298
Hawaii,297
Idaho,113
Illinois,1380
Indiana,540
Iowa,240
Kansas,515
Kentucky,836
Louisiana,542
Maine,166
Massachusetts,1591
Michigan,708
Minnesota,758
Mississippi,284
Missouri,396
Montana,148
Nebraska,394
Nevada,572
New Hampshire,373
New Jersey,2505
New Mexico,222
New York,3646
North Carolina,5389
North Dakota,160
Ohio,1632
Oklahoma,505
Oregon,456
Pennsylvania,8441
Rhode Island,233
South Carolina,2955
South Dakota,74
Tennessee,940
Texas,4668
Utah,311
Vermont,37
Virginia,15810
Washington,1849
West Virginia,2939
Wisconsin,428
Wyoming,0
Alabama,380
Alaska,103
Arizona,1502
Arkansas,163
California,10343
Colorado,2005
Connecticut,4718
Delaware,196
District of Columbia,1005
Florida,11931
Georgia,1941
Hawaii,434
Idaho,183
Illinois,1966
Indiana,487
Iowa,133
Kansas,349
Kentucky,375
Louisiana,268
Maine,3799
Maryland,1544
Michigan,1245
Minnesota,1103
Mississippi,230
Missouri,700
Montana,217
Nebraska,95
Nevada,745
New Hampshire,10553
New Jersey,1951
New Mexico,293
New York,7192
North Carolina,3307
North Dakota,0
Ohio,1660
Oklahoma,201
Oregon,1012
Pennsylvania,2712
Rhode Island,6137
South Carolina,1943
South Dakota,78
Tennessee,1598
Texas,3884
Utah,622
Vermont,1234
Virginia,3091
Washington,2523
West Virginia,179
Wisconsin,229
Wyoming,82
Alabama,957
Alaska,244
Arizona,4272
Arkansas,665
California,5687
Colorado,2505
Connecticut,324
Delaware,16
District of Columbia,283
Florida,13427
Georgia,2853
Hawaii,129
Idaho,372
Illinois,4711
Indiana,4251
Iowa,342
Kansas,478
Kentucky,1272
Louisiana,733
Maine,421
Maryland,1085
Massachusetts,1303
Minnesota,1271
Mississippi,439
Missouri,889
Montana,360
Nebraska,397
Nevada,1195
New Hampshire,296
New Jersey,829
New Mexico,437
New York,1972
North Carolina,3646
North Dakota,59
Ohio,5675
Oklahoma,430
Oregon,811
Pennsylvania,2112
Rhode Island,194
South Carolina,1219
South Dakota,34
Tennessee,3240
Texas,5355
Utah,313
Vermont,127
Virginia,2033
Washington,1947
West Virginia,232
Wisconsin,2330
Wyoming,129
Alabama,211
Alaska,446
Arizona,5065
Arkansas,452
California,4978
Colorado,2144
Connecticut,350
Delaware,11
District of Columbia,77
Florida,4499
Georgia,1594
Hawaii,207
Idaho,307
Illinois,1959
Indiana,534
Iowa,1879
Kansas,621
Kentucky,294
Louisiana,182
Maine,0
Maryland,553
Massachusetts,602
Michigan,1032
Mississippi,48
Missouri,805
Montana,546
Nebraska,661
Nevada,1177
New Hampshire,147
New Jersey,316
New Mexico,409
New York,940
North Carolina,1090
North Dakota,3407
Ohio,1022
Oklahoma,382
Oregon,1009
Pennsylvania,1225
Rhode Island,33
South Carolina,266
South Dakota,2022
Tennessee,928
Texas,3784
Utah,173
Vermont,66
Virginia,872
Washington,1789
West Virginia,86
Wisconsin,7905
Wyoming,142
Alabama,3421
Alaska,0
Arizona,303
Arkansas,1419
California,1207
Colorado,436
Connecticut,0
Delaware,12
District of Columbia,93
Florida,2700
Georgia,2698
Hawaii,95
Idaho,25
Illinois,1204
Indiana,479
Iowa,208
Kansas,263
Kentucky,238
Louisiana,4214
Maine,43
Maryland,620
Massachusetts,99
Michigan,976
Minnesota,348
Missouri,1396
Montana,42
Nebraska,105
Nevada,373
New Hampshire,0
New Jersey,150
New Mexico,124
New York,413
North Carolina,785
North Dakota,72
Ohio,649
Oklahoma,378
Oregon,199
Pennsylvania,518
Rhode Island,48
South Carolina,375
South Dakota,13
Tennessee,4833
Texas,4609
Utah,242
Vermont,0
Virginia,994
Washington,346
West Virginia,45
Wisconsin,130
Wyoming,0
Alabama,706
Alaska,262
Arizona,2186
Arkansas,3335
California,4119
Colorado,2920
Connecticut,344
Delaware,42
District of Columbia,262
Florida,6805
Georgia,1899
Hawaii,388
Idaho,551
Illinois,7763
Indiana,1192
Iowa,2290
Kansas,11749
Kentucky,1007
Louisiana,368
Maine,44
Maryland,477
Massachusetts,704
Michigan,1886
Minnesota,1064
Mississippi,578
Montana,222
Nebraska,578
Nevada,710
New Hampshire,104
New Jersey,311
New Mexico,247
New York,1505
North Carolina,1840
North Dakota,587
Ohio,1906
Oklahoma,2384
Oregon,824
Pennsylvania,652
Rhode Island,191
South Carolina,963
South Dakota,176
Tennessee,1356
Texas,8773
